=================================================================
           NETWORK PERFORMANCE SUMMARY REPORT
           Generated on: 2026-09-21 12:03:08
=================================================================

[1. HOST AGGREGATED METRICS]
--------------------------------------------------------------------------------
Target Host          | Sent   | Recv   | Loss %   | Min (ms)  | Max (ms)  | Avg (ms) 
- 172.16.32.29 (last failed at 2026-09-21 12:02:54)
- 172.16.32.30 (last failed at 2026-09-21 12:02:54)
- 172.16.32.31 (last failed at 2026-09-21 12:02:54)
- 172.16.32.32 (last failed at 2026-09-21 12:02:54)
- 172.16.32.35 (last failed at 2026-09-21 12:02:54)
- 172.16.32.41 (last failed at 2026-09-21 12:02:54)
- 172.16.32.42 (last failed at 2026-09-21 12:02:54)
- 172.16.32.43 (last failed at 2026-09-21 12:02:54)
- 172.16.32.44 (last failed at 2026-09-21 12:02:54)
- 172.16.32.46 (last failed at 2026-09-21 12:02:54)
- 172.16.32.49 (last failed at 2026-09-21 12:02:54)
- 172.16.32.50 (last failed at 2026-09-21 12:02:54)
- 172.16.32.51 (last failed at 2026-09-21 12:02:54)
- 172.16.32.52 (last failed at 2026-09-21 12:02:54)
- 172.16.32.57 (last failed at 2026-09-21 12:02:54)
- 172.16.32.58 (last failed at 2026-09-21 12:02:54)
- 172.16.32.59 (last failed at 2026-09-21 12:02:54)
- 172.16.32.60 (last failed at 2026-09-21 12:02:54)
- 172.16.32.61 (last failed at 2026-09-21 12:02:54)
- 172.16.32.62 (last failed at 2026-09-21 12:02:54)
- 172.16.32.63 (last failed at 2026-09-21 12:02:54)
- 172.16.32.65 (last failed at 2026-09-21 12:02:54)
- 172.16.32.66 (last failed at 2026-09-21 12:02:54)
- 172.16.32.67 (last failed at 2026-09-21 12:02:54)
- 172.16.32.68 (last failed at 2026-09-21 12:02:54)
- 172.16.32.69 (last failed at 2026-09-21 12:02:54)
- 172.16.32.70 (last failed at 2026-09-21 12:02:54)
- 172.16.32.71 (last failed at 2026-09-21 12:02:54)
- 172.16.32.72 (last failed at 2026-09-21 12:02:54)
- 172.16.32.73 (last failed at 2026-09-21 12:02:54)
- 172.16.32.74 (last failed at 2026-09-21 12:02:54)
- 172.16.32.75 (last failed at 2026-09-21 12:02:54)
- 172.16.32.76 (last failed at 2026-09-21 12:02:54)
- 172.16.32.77 (last failed at 2026-09-21 12:02:54)
- 172.16.32.78 (last failed at 2026-09-21 12:02:54)
- 172.16.32.79 (last failed at 2026-09-21 12:02:54)
- 172.16.32.80 (last failed at 2026-09-21 12:02:54)
- 172.16.32.81 (last failed at 2026-09-21 12:02:54)
- 172.16.32.82 (last failed at 2026-09-21 12:02:54)
- 172.16.32.83 (last failed at 2026-09-21 12:02:54)
- 172.16.32.84 (last failed at 2026-09-21 12:02:54)
- 172.16.32.85 (last failed at 2026-09-21 12:02:54)
- 172.16.32.86 (last failed at 2026-09-21 12:02:54)
- 172.16.32.87 (last failed at 2026-09-21 12:02:54)
- 172.16.32.88 (last failed at 2026-09-21 12:02:54)
- 172.16.32.89 (last failed at 2026-09-21 12:02:54)
- 172.16.32.90 (last failed at 2026-09-21 12:02:54)
- 172.16.32.91 (last failed at 2026-09-21 12:02:54)
- 172.16.32.92 (last failed at 2026-09-21 12:02:54)
- 172.16.32.93 (last failed at 2026-09-21 12:02:54)
- 172.16.32.94 (last failed at 2026-09-21 12:02:54)
- 172.16.32.95 (last failed at 2026-09-21 12:02:54)
- 172.16.32.96 (last failed at 2026-09-21 12:02:54)
- 172.16.32.97 (last failed at 2026-09-21 12:02:54)
- 172.16.32.98 (last failed at 2026-09-21 12:02:54)
- 172.16.32.99 (last failed at 2026-09-21 12:02:54)
- 172.16.32.103 (last failed at 2026-09-21 12:02:54)
- 172.16.32.104 (last failed at 2026-09-21 12:02:54)
- 172.16.32.109 (last failed at 2026-09-21 12:02:54)
- 172.16.32.110 (last failed at 2026-09-21 12:02:54)
- 172.16.32.111 (last failed at 2026-09-21 12:02:54)
- 172.16.32.112 (last failed at 2026-09-21 12:02:54)
- 172.16.32.121 (last failed at 2026-09-21 12:02:54)
- 172.16.32.122 (last failed at 2026-09-21 12:02:54)
- 172.16.32.123 (last failed at 2026-09-21 12:02:54)
- 172.16.32.124 (last failed at 2026-09-21 12:02:54)
- 172.16.32.129 (last failed at 2026-09-21 12:02:54)
- 172.16.32.130 (last failed at 2026-09-21 12:02:54)
- 172.16.32.131 (last failed at 2026-09-21 12:02:54)
- 172.16.32.132 (last failed at 2026-09-21 12:02:54)
- 172.16.32.135 (last failed at 2026-09-21 12:02:54)
- 172.16.32.141 (last failed at 2026-09-21 12:02:54)
- 172.16.32.142 (last failed at 2026-09-21 12:02:54)
- 172.16.32.143 (last failed at 2026-09-21 12:02:54)
- 172.16.32.144 (last failed at 2026-09-21 12:02:54)
- 172.16.32.146 (last failed at 2026-09-21 12:02:54)
- 172.16.32.149 (last failed at 2026-09-21 12:02:54)
- 172.16.32.150 (last failed at 2026-09-21 12:02:54)
- 172.16.32.151 (last failed at 2026-09-21 12:02:54)
- 172.16.32.152 (last failed at 2026-09-21 12:02:54)
- 172.16.32.157 (last failed at 2026-09-21 12:02:54)
- 172.16.32.158 (last failed at 2026-09-21 12:02:54)
- 172.16.32.159 (last failed at 2026-09-21 12:02:54)
- 172.16.32.160 (last failed at 2026-09-21 12:02:54)
- 172.16.32.161 (last failed at 2026-09-21 12:02:54)
- 172.16.32.162 (last failed at 2026-09-21 12:02:54)
- 172.16.32.163 (last failed at 2026-09-21 12:02:54)

[3. DETAILED SEQUENCE TIMELINE LOGS]

# Target Stream: 172.16.32.0
---------------------------------------------
[2026-09-21 12:02:32] Seq 1: Success - Latency 1.48ms - TTL 62
[2026-09-21 12:02:33] Seq 2: Success - Latency 1.45ms - TTL 62
[2026-09-21 12:02:34] Seq 3: Success - Latency 1.99ms - TTL 62
[2026-09-21 12:02:35] Seq 4: Success - Latency 1.28ms - TTL 62
[2026-09-21 12:02:36] Seq 5: Success - Latency 1.16ms - TTL 62
[2026-09-21 12:02:37] Seq 6: Success - Latency 1.1ms - TTL 62
[2026-09-21 12:02:38] Seq 7: Success - Latency 1.39ms - TTL 62
[2026-09-21 12:02:39] Seq 8: Success - Latency 1.31ms - TTL 62
[2026-09-21 12:02:40] Seq 9: Success - Latency 2.27ms - TTL 62
[2026-09-21 12:02:41] Seq 10: Success - Latency 1.28ms - TTL 62
[2026-09-21 12:02:42] Seq 11: Success - Latency 4.12ms - TTL 62
[2026-09-21 12:02:43] Seq 12: Success - Latency 0.92ms - TTL 62
[2026-09-21 12:02:44] Seq 13: Success - Latency 1.61ms - TTL 62
[2026-09-21 12:02:45] Seq 14: Success - Latency 1.81ms - TTL 62
[2026-09-21 12:02:46] Seq 15: Success - Latency 1.81ms - TTL 62
[2026-09-21 12:02:47] Seq 16: Success - Latency 1.59ms - TTL 62
[2026-09-21 12:02:48] Seq 17: Success - Latency 1.32ms - TTL 62
[2026-09-21 12:02:49] Seq 18: Success - Latency 1.56ms - TTL 62
[2026-09-21 12:02:50] Seq 19: Success - Latency 1.83ms - TTL 62
[2026-09-21 12:02:51] Seq 20: Success - Latency 1.09ms - TTL 62
[2026-09-21 12:02:52] Seq 21: Success - Latency 1.8ms - TTL 62
[2026-09-21 12:02:53] Seq 22: Success - Latency 1.29ms - TTL 62
[2026-09-21 12:02:54] Seq 23: Success - Latency 1.32ms - TTL 62

# Target Stream: 172.16.32.1
---------------------------------------------
[2026-09-21 12:02:32] Seq 1: Success - Latency 1.36ms - TTL 62
[2026-09-21 12:02:33] Seq 2: Success - Latency 7.57ms - TTL 62
[2026-09-21 12:02:34] Seq 3: Success - Latency 3.59ms - TTL 62
[2026-09-21 12:02:35] Seq 4: Success - Latency 1.19ms - TTL 62
[2026-09-21 12:02:36] Seq 5: Success - Latency 2.67ms - TTL 62
[2026-09-21 12:02:37] Seq 6: Success - Latency 2.93ms - TTL 62
[2026-09-21 12:02:38] Seq 7: Success - Latency 1.9ms - TTL 62
[2026-09-21 12:02:39] Seq 8: Success - Latency 1.63ms - TTL 62
[2026-09-21 12:02:40] Seq 9: Success - Latency 1.43ms - TTL 62
[2026-09-21 12:02:41] Seq 10: Success - Latency 1.04ms - TTL 62
[2026-09-21 12:02:42] Seq 11: Success - Latency 1.02ms - TTL 62
[2026-09-21 12:02:43] Seq 12: Success - Latency 1.18ms - TTL 62
[2026-09-21 12:02:44] Seq 13: Success - Latency 2.73ms - TTL 62
[2026-09-21 12:02:45] Seq 14: Success - Latency 2.03ms - TTL 62
[2026-09-21 12:02:46] Seq 15: Success - Latency 1.24ms - TTL 62
[2026-09-21 12:02:47] Seq 16: Success - Latency 2.47ms - TTL 62
[2026-09-21 12:02:48] Seq 17: Success - Latency 1.02ms - TTL 62
[2026-09-21 12:02:49] Seq 18: Success - Latency 1.04ms - TTL 62
[2026-09-21 12:02:50] Seq 19: Success - Latency 1.2ms - TTL 62
[2026-09-21 12:02:51] Seq 20: Success - Latency 1.52ms - TTL 62
[2026-09-21 12:02:52] Seq 21: Success - Latency 2.08ms - TTL 62
[2026-09-21 12:02:53] Seq 22: Success - Latency 1.19ms - TTL 62
[2026-09-21 12:02:54] Seq 23: Success - Latency 1.05ms - TTL 62

# Target Stream: 172.16.32.2
---------------------------------------------
[2026-09-21 12:02:32] Seq 1: Success - Latency 1.26ms - TTL 62
[2026-09-21 12:02:33] Seq 2: Success - Latency 8.5ms - TTL 62
[2026-09-21 12:02:34] Seq 3: Success - Latency 2.56ms - TTL 62
[2026-09-21 12:02:35] Seq 4: Success - Latency 1.4ms - TTL 62
[2026-09-21 12:02:36] Seq 5: Success - Latency 1.71ms - TTL 62
[2026-09-21 12:02:37] Seq 6: Success - Latency 1.19ms - TTL 62
[2026-09-21 12:02:38] Seq 7: Success - Latency 2.0ms - TTL 62
[2026-09-21 12:02:39] Seq 8: Success - Latency 1.27ms - TTL 62
[2026-09-21 12:02:40] Seq 9: Success - Latency 2.14ms - TTL 62
[2026-09-21 12:02:41] Seq 10: Success - Latency 1.59ms - TTL 62
[2026-09-21 12:02:42] Seq 11: Success - Latency 1.19ms - TTL 62
[2026-09-21 12:02:43] Seq 12: Success - Latency 1.35ms - TTL 62
[2026-09-21 12:02:44] Seq 13: Success - Latency 1.16ms - TTL 62
[2026-09-21 12:02:45] Seq 14: Success - Latency 1.14ms - TTL 62
[2026-09-21 12:02:46] Seq 15: Success - Latency 1.38ms - TTL 62
[2026-09-21 12:02:47] Seq 16: Success - Latency 1.32ms - TTL 62
[2026-09-21 12:02:48] Seq 17: Success - Latency 1.88ms - TTL 62
[2026-09-21 12:02:49] Seq 18: Success - Latency 1.18ms - TTL 62
[2026-09-21 12:02:50] Seq 19: Success - Latency 5.07ms - TTL 62
[2026-09-21 12:02:51] Seq 20: Success - Latency 1.14ms - TTL 62
[2026-09-21 12:02:52] Seq 21: Success - Latency 1.42ms - TTL 62
[2026-09-21 12:02:53] Seq 22: Success - Latency 1.13ms - TTL 62
[2026-09-21 12:02:54] Seq 23: Success - Latency 1.62ms - TTL 62

# Target Stream: 172.16.32.3
---------------------------------------------
[2026-09-21 12:02:32] Seq 1: FAILED - Timed Out
[2026-09-21 12:02:34] Seq 2: FAILED - Timed Out
[2026-09-21 12:02:36] Seq 3: FAILED - Timed Out
[2026-09-21 12:02:38] Seq 4: FAILED - Timed Out
[2026-09-21 12:02:40] Seq 5: FAILED - Timed Out
[2026-09-21 12:02:42] Seq 6: FAILED - Timed Out
[2026-09-21 12:02:44] Seq 7: FAILED - Timed Out
[2026-09-21 12:02:46] Seq 8: FAILED - Timed Out
[2026-09-21 12:02:48] Seq 9: FAILED - Timed Out
[2026-09-21 12:02:50] Seq 10: FAILED - Timed Out
[2026-09-21 12:02:52] Seq 11: FAILED - Timed Out
[2026-09-21 12:02:54] Seq 12: FAILED - Timed Out

# Target Stream: 172.16.32.4
---------------------------------------------
[2026-09-21 12:02:32] Seq 1: FAILED - Timed Out
[2026-09-21 12:02:34] Seq 2: FAILED - Timed Out
[2026-09-21 12:02:36] Seq 3: FAILED - Timed Out
[2026-09-21 12:02:38] Seq 4: FAILED - Timed Out
[2026-09-21 12:02:40] Seq 5: FAILED - Timed Out
[2026-09-21 12:02:42] Seq 6: FAILED - Timed Out
[2026-09-21 12:02:44] Seq 7: FAILED - Timed Out
[2026-09-21 12:02:46] Seq 8: FAILED - Timed Out
[2026-09-21 12:02:48] Seq 9: FAILED - Timed Out
[2026-09-21 12:02:50] Seq 10: FAILED - Timed Out
[2026-09-21 12:02:52] Seq 11: FAILED - Timed Out
[2026-09-21 12:02:54] Seq 12: FAILED - Timed Out

# Target Stream: 172.16.32.5
---------------------------------------------
[2026-09-21 12:02:32] Seq 1: Success - Latency 1.47ms - TTL 62
[2026-09-21 12:02:33] Seq 2: Success - Latency 7.44ms - TTL 62
[2026-09-21 12:02:34] Seq 3: Success - Latency 4.71ms - TTL 62
[2026-09-21 12:02:35] Seq 4: Success - Latency 1.14ms - TTL 62
[2026-09-21 12:02:36] Seq 5: Success - Latency 4.98ms - TTL 62
[2026-09-21 12:02:37] Seq 6: Success - Latency 1.63ms - TTL 62
[2026-09-21 12:02:38] Seq 7: Success - Latency 1.86ms - TTL 62
[2026-09-21 12:02:39] Seq 8: Success - Latency 2.45ms - TTL 62
[2026-09-21 12:02:40] Seq 9: Success - Latency 1.08ms - TTL 62
[2026-09-21 12:02:41] Seq 10: Success - Latency 0.93ms - TTL 62
[2026-09-21 12:02:42] Seq 11: Success - Latency 1.08ms - TTL 62
[2026-09-21 12:02:43] Seq 12: Success - Latency 2.71ms - TTL 62
[2026-09-21 12:02:44] Seq 13: Success - Latency 1.62ms - TTL 62
[2026-09-21 12:02:45] Seq 14: Success - Latency 1.04ms - TTL 62
[2026-09-21 12:02:46] Seq 15: Success - Latency 1.06ms - TTL 62
[2026-09-21 12:02:47] Seq 16: Success - Latency 1.35ms - TTL 62
[2026-09-21 12:02:48] Seq 17: Success - Latency 1.61ms - TTL 62
[2026-09-21 12:02:49] Seq 18: Success - Latency 1.78ms - TTL 62
[2026-09-21 12:02:50] Seq 19: Success - Latency 2.03ms - TTL 62
[2026-09-21 12:02:51] Seq 20: Success - Latency 1.07ms - TTL 62
